,Place,Latitude,Longitude
169,BIH,50.6402809,4.6667145
170,GUM,13.486490199999999,144.80206025352555
171,CAY,4.820737449999999,-52.36305702364213
172,SVK,-25.76263395,28.418297868007738
173,BAR,48.4088704,7.4492808
174,GBS,14.777715,45.231286
175,TLS,43.629977999999994,1.360809880743464
176,COD,53.305278,-7.041111
177,GAB,10.3991906,12.6990938
178,SMR,11.11905825,-74.23115961941534
179,LAO,20.0171109,103.378253
180,BOT,41.0092568,0.3853936
181,ROT,43.8119467,3.8133382
182,CAM,40.860672,14.843984
183,PRK,4.812181,100.9797908
184,SOL,37.5666791,126.9782914
185,SEN,41.1343702,-83.1194199
186,CPV,41.0410042,-8.271775
187,CRT,41.8523094,1.5745043
188,GEQ,40.725816,112.4367226
189,BOL,10.4190661,-75.5267671
190,SAA,42.9335146,-7.582015
191,AND,42.546245,1.601554
192,ANT,7.0000085,-75.5000086
193,ZIM,50.5849611,13.9652513
194,GRN,10.7226226,-10.7083587
195,HKG,22.3125986,113.91732378641939
196,LCA,34.87033995,33.618511556449484
197,FSM,53.16702265,18.170003585950866
198,MYA,19.1023829,96.20825
199,MAW,18.98992,94.19371
200,ZAM,46.0061858,22.4435766
201,RHO,45.5284979,9.0398251
202,TPE,25.079317449999998,121.23459767526805
203,STP,44.3280498,-93.97033858982115
204,MKD,59.9188811,30.4725348
205,BOH,50.78234165,-1.8383330379835439
206,TGA,46.5107863,9.590563
207,LIE,47.1416307,9.5531527
208,MNE,38.70700685,-9.170150657103143
209,GAM,10.204916,16.1555026
210,COK,10.15448595,76.39248892735499
211,ALB,42.748015949999996,-73.79855563763934
212,WIF,18.5419788,-72.4369554
213,SWZ,-33.8888935,150.7143727281587
214,BUR,43.2768745,0.092596
215,NBO,-1.3168547,36.92904912198662
216,BDI,52.64847135,0.7034433325107836
217,ARU,3.0321244,30.484008440490193
218,NRU,49.356918,6.789850991737881
219,VNM,14.3926225,79.017633
220,VIE,17.789187,-64.7080574
221,BHU,21.7528163,72.18697803465328
222,MHL,13.683333,43.933333
223,KIR,48.3725226,31.7834817
224,UNK,63.88721485,122.77467709392802
225,TUV,47.4692538,106.5525161
226,NFL,31.0052155,49.7119823
227,KOS,36.793693250000004,27.084826562878217
228,SSD,-28.86483965,-52.53967598708036
229,LES,42.911215299999995,0.7001009619092323
230,Barcelona,41.3828939,2.1774322
231,London,51.5073219,-0.1276474
232,Antwerpen,51.2211097,4.3997081
233,Paris,48.8566969,2.3514616
234,Calgary,51.0460954,-114.065465
235,Albertville,45.6754622,6.3925417
236,Lillehammer,61.1333408,10.426585544131413
237,Los Angeles,34.0536909,-118.242766
238,Salt Lake City,40.7596198,-111.8867975
239,Helsinki,60.1674881,24.9427473
240,Lake Placid,44.279621,-73.979874
241,Sydney,-33.8548157,151.2164539
242,Atlanta,33.7489924,-84.3902644
243,Stockholm,59.3251172,18.0710935
244,Sochi,43.71292235,39.58489885474357
245,Nagano,36.1143945,138.0319015
